id;amount;status;created_at;updated_at;user_id;moderated_at;deleted_account_id;reimbursement_date;cash_request_received_date;money_back_date;transfer_type;send_at;recovery_status;reco_creation;reco_last_update;payback_delay_days;payback_delay_days_cifra
23890;25.0;money_back;24/10/2020;18/12/2020;84127.0;;;;27/10/2020;05/11/2020;instant;24/10/2020;;;;<9 * Days>;9
22135;100.0;money_back;19/10/2020;18/12/2020;65828.0;;;;19/10/2020;03/11/2020;instant;19/10/2020;;;;<15 * Days>;15
24644;25.0;money_back;26/10/2020;18/12/2020;52095.0;;;10/11/2020;27/10/2020;10/11/2020;instant;26/10/2020;;;;<14 * Days>;14
21613;50.0;money_back;16/10/2020;18/12/2020;72038.0;;;;20/10/2020;27/10/2020;instant;16/10/2020;;;;<7 * Days>;7
19728;100.0;money_back;07/10/2020;18/12/2020;;;21971.0;;09/10/2020;30/10/2020;instant;07/10/2020;;;;<21 * Days>;21
21642;100.0;money_back;16/10/2020;18/12/2020;56504.0;;;;17/10/2020;11/12/2020;instant;16/10/2020;completed;02/12/2020;11/12/2020;<55 * Days>;55
21619;100.0;money_back;16/10/2020;18/12/2020;75323.0;;;;17/10/2020;30/10/2020;instant;16/10/2020;;;;<13 * Days>;13
21629;100.0;money_back;16/10/2020;18/12/2020;74401.0;;;;20/10/2020;06/11/2020;instant;16/10/2020;;;;<17 * Days>;17
21614;50.0;money_back;16/10/2020;18/12/2020;74938.0;;;;19/10/2020;11/11/2020;instant;16/10/2020;;;;<23 * Days>;23
21596;100.0;money_back;16/10/2020;18/12/2020;58889.0;16/10/2020;;;20/10/2020;06/11/2020;instant;16/10/2020;;;;<17 * Days>;17
21636;100.0;money_back;16/10/2020;18/12/2020;;;23289.0;;20/10/2020;05/11/2020;instant;16/10/2020;;;;<16 * Days>;16
21646;100.0;money_back;16/10/2020;18/12/2020;54213.0;;;;17/10/2020;05/11/2020;instant;16/10/2020;;;;<19 * Days>;19
21616;100.0;money_back;16/10/2020;18/12/2020;72967.0;;;;20/10/2020;06/11/2020;instant;16/10/2020;;;;<17 * Days>;17
21612;100.0;money_back;16/10/2020;18/12/2020;74754.0;;;;17/10/2020;05/11/2020;instant;16/10/2020;;;;<19 * Days>;19
21641;100.0;money_back;16/10/2020;18/12/2020;124.0;;;;27/10/2020;02/11/2020;regular;23/10/2020;;;;<6 * Days>;6
21609;100.0;money_back;16/10/2020;18/12/2020;65475.0;;;;20/10/2020;02/11/2020;instant;16/10/2020;;;;<13 * Days>;13
21618;100.0;money_back;16/10/2020;18/12/2020;69832.0;;;;19/10/2020;29/10/2020;instant;16/10/2020;;;;<10 * Days>;10
21640;50.0;money_back;16/10/2020;18/12/2020;56252.0;;;;19/10/2020;03/11/2020;instant;16/10/2020;;;;<15 * Days>;15
21635;100.0;money_back;16/10/2020;18/12/2020;75424.0;;;;19/10/2020;04/11/2020;instant;16/10/2020;;;;<16 * Days>;16
21617;100.0;money_back;16/10/2020;18/12/2020;64680.0;;;;19/10/2020;09/11/2020;instant;16/10/2020;;;;<21 * Days>;21
21659;100.0;money_back;16/10/2020;18/12/2020;65078.0;;;;20/10/2020;17/12/2020;instant;16/10/2020;;;;<58 * Days>;58
21650;50.0;money_back;16/10/2020;18/12/2020;49469.0;;;;17/10/2020;18/11/2020;instant;16/10/2020;completed;18/11/2020;18/11/2020;<32 * Days>;32
21657;100.0;money_back;16/10/2020;18/12/2020;71089.0;;;;20/10/2020;11/11/2020;instant;16/10/2020;;;;<22 * Days>;22
21651;100.0;money_back;16/10/2020;18/12/2020;42659.0;;;;20/10/2020;12/11/2020;instant;16/10/2020;;;;<23 * Days>;23
21665;100.0;money_back;16/10/2020;18/12/2020;75462.0;;;;19/10/2020;06/11/2020;instant;16/10/2020;;;;<18 * Days>;18
21661;50.0;money_back;16/10/2020;18/12/2020;75540.0;;;;19/10/2020;20/10/2020;instant;16/10/2020;;;;<Day>;#¡VALOR!
21654;100.0;money_back;16/10/2020;18/12/2020;53031.0;;;;20/10/2020;03/11/2020;instant;16/10/2020;;;;<14 * Days>;14
21679;100.0;money_back;16/10/2020;18/12/2020;7449.0;;;;20/10/2020;05/11/2020;instant;16/10/2020;;;;<16 * Days>;16
21656;50.0;money_back;16/10/2020;18/12/2020;17927.0;;;;21/10/2020;05/11/2020;instant;16/10/2020;;;;<15 * Days>;15
21667;50.0;money_back;16/10/2020;18/12/2020;74944.0;;;;20/10/2020;05/11/2020;instant;16/10/2020;;;;<16 * Days>;16
13296;100.0;money_back;20/08/2020;18/12/2020;33290.0;20/08/2020;;;21/08/2020;01/12/2020;instant;27/08/2020;completed;15/10/2020;01/12/2020;<102 * Days>;102
21658;100.0;money_back;16/10/2020;18/12/2020;75550.0;;;;21/10/2020;29/10/2020;instant;16/10/2020;;;;<8 * Days>;8
21680;50.0;money_back;16/10/2020;18/12/2020;13572.0;17/10/2020;;;18/10/2020;03/11/2020;instant;16/10/2020;;;;<16 * Days>;16
